kind,faction,speaker,transcript,filename,relative_path,sha256,bytes,source_path
MATCH_OPENING,PROTOSS,Adept,To glorious battle!,Adept_Attack02.ogg,MATCH_OPENING/PROTOSS/Adept_Attack02.ogg,9efa2c96f981d82aac2ecb26ec357a2439331c7bb5b09ed053f0bd2883c03297,24909,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\enus.sc2assets\LocalizedData\Sounds\VO\Protoss\Adept_Attack02.ogg
MATCH_OPENING,PROTOSS,Artanis,March boldly without fear!,Artanis_Yes03.ogg,MATCH_OPENING/PROTOSS/Artanis_Yes03.ogg,1396a3671f14d221be7b0e42fe7875563b66beb9ec5cc8fe539c57e54ece4f5f,36176,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\campaigns\liberty.sc2campaign\enus.sc2assets\LocalizedData\Sounds\ProtossVO\CampaignUnits\Artanis\Artanis_Yes03.ogg
MATCH_OPENING,PROTOSS,Artanis,We must stand as one.,Artanis_Ready00.ogg,MATCH_OPENING/PROTOSS/Artanis_Ready00.ogg,24a2d56955f3efb96ac2f0a82537f5eb807a9649a461fb7bc1fbdef18e58c4f9,39941,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\campaigns\liberty.sc2campaign\enus.sc2assets\LocalizedData\Sounds\ProtossVO\CampaignUnits\Artanis\Artanis_Ready00.ogg
MATCH_OPENING,PROTOSS,Carrier,Prepare to engage.,Carrier_Yes05.ogg,MATCH_OPENING/PROTOSS/Carrier_Yes05.ogg,767cde37ceb704cae1df9e9cad739eb205aa7ced3f10ba4e1076b39b0a848d8e,27143,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\enus.sc2assets\LocalizedData\Sounds\ProtossUnitVO\Carrier\Carrier_Yes05.ogg
MATCH_OPENING,PROTOSS,Carrier,The time is now.,Carrier_Yes01.ogg,MATCH_OPENING/PROTOSS/Carrier_Yes01.ogg,d5169ee32e46c1a9f5f45741296e9309e41356e5875b2861bfd552d7e4cd2d17,28429,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\enus.sc2assets\LocalizedData\Sounds\ProtossUnitVO\Carrier\Carrier_Yes01.ogg
MATCH_OPENING,PROTOSS,Carrier,We are ready.,Carrier_What05.ogg,MATCH_OPENING/PROTOSS/Carrier_What05.ogg,3a52e8249642d1835e16ea1b0b856b42dc691834de74608a61ab6bca469cb35c,25543,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\enus.sc2assets\LocalizedData\Sounds\ProtossUnitVO\Carrier\Carrier_What05.ogg
MATCH_OPENING,PROTOSS,Corsair,Ready for battle!,Corsair_What00.ogg,MATCH_OPENING/PROTOSS/Corsair_What00.ogg,9d9a222d7513068344c4a4f3da752ec596f97e5f7f5d1a91fd677dcfe6814254,32900,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\campaigns\liberty.sc2campaign\enus.sc2assets\LocalizedData\Sounds\ProtossVO\CampaignUnits\Corsair\Corsair_What00.ogg
MATCH_OPENING,PROTOSS,Dark Templar,From the shadows I come.,DarkTemplar_Ready00.ogg,MATCH_OPENING/PROTOSS/DarkTemplar_Ready00.ogg,7c6853f1ce1769da9f4791d0e6378e28453e10f965738295f447e8a102048e27,35284,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\mods\liberty.sc2mod\enus.sc2assets\LocalizedData\Sounds\ProtossUnitVO\DarkTemplar\DarkTemplar_Ready00.ogg
MATCH_OPENING,PROTOSS,Fenix,To battle!,Fenix_Attack00.ogg,MATCH_OPENING/PROTOSS/Fenix_Attack00.ogg,6b4d088dfdfd77d90c6fe767a6ea578f786e30b33a981a5a9d3b083280373846,18025,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\campaigns\void.sc2campaign\enus.sc2assets\LocalizedData\Sounds\VO\Protoss\Fenix_Attack00.ogg
MATCH_OPENING,PROTOSS,Fenix (Dragoon),I hunger for battle!,FenixDragoon_What03.ogg,MATCH_OPENING/PROTOSS/FenixDragoon_What03.ogg,dabe853861330a06de555555e43a6f9df16dd87adf066b8c53db36dca55751ba,26122,C:\Users\psych\Desktop\SC2_Local_Audio_Rip\RAW_GAME_AUDIO\campaigns\void.sc2campaign\enus.sc2assets\LocalizedData\Sounds\VO\Protoss\FenixDragoon_What03.ogg
