TERRAN	STIMPACK	ACTIVE	STIMPACK: ACTIVE 1 CP This Unit suffers NON-LETHAL DAMAGE (2). This Unit gains BUFF Speed (3). Additionally, its C-14 Rifle and all Close Combat Weapons gain PRECISION (3).	Terran Cards · sheet 1
TERRAN	SLUGTHROWER	PASSIVE	"SLUGTHROWER: PASSIVE When this Unit makes a Ranged Attack with a C-14 Rifle and the target is Within 8"", that weapon gains ANTI-EVADE (1)."	Terran Cards · sheet 1
TERRAN	GRENADES - FRAG	PASSIVE	"GRENADES - FRAG: PASSIVE When this Unit makes a Ranged Attack with a C-14 Rifle and the target is Within 8"", that weapon’s S Dice is replaced by D6."	Terran Cards · sheet 1
TERRAN	COMBAT SHIELD	ACTIVE	COMBAT SHIELD: ACTIVE 1 CP This Unit is always eligible to make an Evade Roll against any Close Combat Attack targeting it and any Damage from an Enemy Special Ability.	Terran Cards · sheet 1
TERRAN	LASER TARGETING SYSTEMS	PASSIVE	"LASER TARGETING SYSTEMS: PASSIVE This Unit’s Quad K12 weapon gains LONG RANGE (16"")."	Terran Cards · sheet 2
TERRAN	VETERAN OF TARSONIS	PASSIVE	"VETERAN OF TARSONIS: PASSIVE While this Unit is Within 3"" of a Mission Marker, its Armour characteristic is increased by 1."	Terran Cards · sheet 2
TERRAN	KINETIC FOAM	PASSIVE	KINETIC FOAM: PASSIVE Increase this Unit's Hit Points characteristic by 1.	Terran Cards · sheet 2
TERRAN	CONCUSIVE SHELLS	REACTION	"CONCUSIVE SHELLS: REACTION 1 CP When an Enemy declares a Charge against a Friendly Unit Within 8"", that Enemy gains DEBUFF Speed (2)."	Terran Cards · sheet 2
TERRAN	STIMPACK	ACTIVE	STIMPACK: ACTIVE 1 CP This Unit suffers NON-LETHAL DAMAGE (2). This Unit gains BUFF Speed (3). Additionally, its Quad K12 and all Close Combat Weapons gain PRECISION (2).	Terran Cards · sheet 2
TERRAN	MEDPACK	ACTIVE	"MEDPACK: ACTIVE 1 CP Select another Friendly Biological Unit Within 4"". Resolve the HEAL (X) effect for the targeted Unit, where X is the number of models in this Unit that are Within 4"" of the target Unit."	Terran Cards · sheet 3
